,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
0,2022-01-04,sh.600606,4.3100,4.4100,4.3100,4.4000,4.3400,41148827,180504680.9300,3,0.322100,1,1.382500,0
1,2022-01-05,sh.600606,4.4000,4.4800,4.3800,4.4100,4.4000,41713178,184584732.3300,3,0.326500,1,0.227300,0
2,2022-01-06,sh.600606,4.4100,4.5000,4.4000,4.4500,4.4100,44454945,198033158.6500,3,0.347900,1,0.907000,0
3,2022-01-07,sh.600606,4.4400,4.6300,4.4300,4.5400,4.4500,76522969,349518794.5500,3,0.598900,1,2.022500,0
4,2022-01-10,sh.600606,4.5600,4.6800,4.5100,4.6500,4.5400,70540160,324618887.2600,3,0.552100,1,2.422900,0
5,2022-01-11,sh.600606,4.6200,4.7000,4.5700,4.6000,4.6500,67889617,314367994.3300,3,0.531400,1,-1.075300,0
6,2022-01-12,sh.600606,4.5900,4.6000,4.5100,4.5700,4.6000,41250887,187979484.2700,3,0.322900,1,-0.652200,0
7,2022-01-13,sh.600606,4.5600,4.6600,4.5400,4.5500,4.5700,38122385,175121070.5100,3,0.298400,1,-0.437600,0
8,2022-01-14,sh.600606,4.5300,4.5500,4.4000,4.4100,4.5500,52313523,232678732.7500,3,0.409400,1,-3.076900,0
9,2022-01-17,sh.600606,4.4000,4.4600,4.4000,4.4300,4.4100,25060160,111180070.0600,3,0.196100,1,0.453500,0
10,2022-01-18,sh.600606,4.4300,4.5500,4.4000,4.5000,4.4300,43978568,196696824.7400,3,0.344200,1,1.580100,0
11,2022-01-19,sh.600606,4.4900,4.5700,4.4700,4.5400,4.5000,37818843,171582332.2000,3,0.296000,1,0.888900,0
12,2022-01-20,sh.600606,4.5500,4.6400,4.5300,4.5500,4.5400,43624565,199993550.9000,3,0.341400,1,0.220300,0
13,2022-01-21,sh.600606,4.5200,4.5600,4.4500,4.4800,4.5500,28889912,129965264.0000,3,0.226100,1,-1.538500,0
14,2022-01-24,sh.600606,4.4500,4.5700,4.4200,4.5100,4.4800,29132961,131288356.6300,3,0.228000,1,0.669600,0
